Rank,Release Group,Worldwide,Domestic,%,Foreign,%
101,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%
102,30 jours max,"$10,770,554",-,-,"$10,770,554",100%
103,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
104,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$10,628,463",-,-,"$10,628,463",100%
105,One Second,"$10,600,000",-,-,"$10,600,000",100%
106,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%
107,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%
108,My Spy,"$10,200,000",-,-,"$10,200,000",100%
109,The Asadas,"$10,066,797",-,-,"$10,066,797",100%
110,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%
111,Bigfoot Family,"$9,590,107",-,-,"$9,590,107",100%
112,10 Days with Dad,"$9,472,077","$2,359",<0.1%,"$9,469,718",100%
113,365 Days,"$9,458,590",-,-,"$9,458,590",100%
114,Secret Zoo,"$9,457,317",-,-,"$9,457,317",100%
115,Another Round,"$9,443,282",-,-,"$9,443,282",100%
116,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%
117,A Quiet Place 2020 Re-release,"$9,381,052",-,-,"$9,381,052",100%
118,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%
119,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
120,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%
121,The Closet,"$8,948,595",-,-,"$8,948,595",100%
122,I Hate Summer,"$8,925,279",-,-,"$8,925,279",100%
123,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
124,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%
125,The Secret Garden,"$8,842,172",-,-,"$8,842,172",100%
126,Malasaña 32,"$8,711,420",-,-,"$8,711,420",100%
127,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%
128,Malang,"$8,399,765",-,-,"$8,399,765",100%
129,100% Wolf,"$8,334,669","$658,764",7.9%,"$7,675,905",92.1%
130,Bohemian Rhapsody 2020 Re-release,"$8,247,390","$240,000",2.9%,"$8,007,390",97.1%
131,Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%
132,AI Amok,"$7,932,191",-,-,"$7,932,191",100%
133,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%
134,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%
135,Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,-,"$7,732,435",100%
136,Neposredstvenno Kakha,"$7,692,780",-,-,"$7,692,780",100%
137,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%
138,Antoinette dans les Cévennes,"$7,629,953",-,-,"$7,629,953",100%
139,The Heist of the Century,"$7,614,202",-,-,"$7,614,202",100%
140,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%
141,De Gaulle,"$7,470,099",-,-,"$7,470,099",100%
142,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%
143,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%
144,Adu,"$7,085,946",-,-,"$7,085,946",100%
145,The Best Years,"$7,044,928",-,-,"$7,044,928",100%
146,Fatale,"$6,993,043","$6,306,897",90.2%,"$686,146",9.8%
147,Spycies,"$6,979,570",-,-,"$6,979,570",100%
148,Jim Button and the Wild 13,"$6,880,898",-,-,"$6,880,898",100%
149,Antebellum,"$6,852,361",-,-,"$6,852,361",100%
150,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%
151,Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%
152,Innocence,"$6,659,968",-,-,"$6,659,968",100%
153,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%
154,Silver Skates,"$6,574,310",-,-,"$6,574,310",100%
155,Dragon Rider,"$6,532,737",-,-,"$6,532,737",100%
156,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
157,"Love Me, Love Me Not","$6,494,241",-,-,"$6,494,241",100%
158,Hammamet,"$6,434,874",-,-,"$6,434,874",100%
159,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%
160,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%
161,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%
162,Simply Black,"$6,323,750",-,-,"$6,323,750",100%
163,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
164,Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.8%,"$2,834,367",45.2%
165,Hotel Belgrade,"$6,199,413",-,-,"$6,199,413",100%
166,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%
167,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
168,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%
169,How to Be a Good Wife,"$5,975,340",-,-,"$5,975,340",100%
170,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
171,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%
172,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%
173,Last Letter,"$5,663,972",-,-,"$5,663,972",100%
174,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%
175,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%
176,Hocus Pocus 2020 Re-release,"$5,432,992","$4,828,000",88.9%,"$604,992",11.1%
177,Two by Two: Overboard!,"$5,351,247",-,-,"$5,351,247",100%
178,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%
179,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%
180,Mama Weed,"$5,169,315",-,-,"$5,169,315",100%
181,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%
182,Masked Ward,"$5,106,794",-,-,"$5,106,794",100%
183,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%
184,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%
185,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%
186,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
187,Mayday,"$5,011,408",-,-,"$5,011,408",100%
188,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%
189,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%
190,Godai - The Wunderkind,"$4,948,225",-,-,"$4,948,225",100%
191,Military Wives,"$4,892,534",-,-,"$4,892,534",100%
192,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
193,The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%
194,Streltsov,"$4,850,073",-,-,"$4,850,073",100%
195,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
196,Run,"$4,794,208",-,-,"$4,794,208",100%
197,The Vets,"$4,788,826",-,-,"$4,788,826",100%
198,The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%
199,Gladiator 20th Anniversary,"$4,780,585",-,-,"$4,780,585",100%
200,Intruder,"$4,751,103",-,-,"$4,751,103",100%
